area,latitude,longitude
"челябинская , магнитогорск , снт богатый остров",53.314428,59.097737
"челябинская , магнитогорск , сно им. мичурина-6",53.401682,58.902183
"челябинская , магнитогорск , снт строитель-8",53.459414,58.903953
"челябинская , магнитогорск , снтсн коммунальщик",53.341737,59.048222
"челябинская , магнитогорск , пгск калина .",53.407163,58.980291
"челябинская , магнитогорск , снт строитель-5",53.407163,58.980291
"челябинская , магнитогорск , снт строитель-6",53.447789,58.904114
"челябинская , магнитогорск , снт метизник",53.454658,58.949803
"челябинская , магнитогорск , малая пролетарская ул",53.381867,59.027722
